,cnpj,inscrição estadual - cce ,nome empresarial,contribuinte?,atividade econômica,situação cadastral vigente,data desta situação cadastral,data de cadastramento,inscrição estadual,contribuinte
91,10323007000106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,7296453000156,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
93,5247095000166,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94,4700400000160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
95,3454819000117,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
96,2223491000165,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
97,41847153000156,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
98,2910947000165,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
99,35864271000170,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100,1747501000107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101,1010853000177,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
102,7082806000115,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
103,4793429000134,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
104,7813902000196,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105,7081149000191,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
106,52645009000153,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107,21706155000118,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
108,1634373000187,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
109,7557369000149,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
110,3577587000194,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
111,6278695000154,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112,19658020000182,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
113,53687216000133,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
114,296375000140,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
115,10419620000113,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
116,33000076000176,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
117,10803716000180,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118,1871661000155,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
119,96704127000160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120,61536744000110,10.210.904-4,cooperativa agr cotia coop central,sim,"atividade principal | 0121101 - horticultura, exceto morango",baixado - não habilitado,2009-03-22,1988-01-08,NULL,NULL
121,1092071000124,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122,93296127000180,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123,4395040000130,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124,76715309000120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
125,8378985000103,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
126,54945902000120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
127,90134115000161,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
128,6974360000170,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
129,1374548000164,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
130,9257039000163,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
131,5954423000164,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132,5614974000189,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
133,8748299000179,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
134,47709365000153,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
135,38011664000129,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
136,55023212000186,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
137,50607043000108,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
138,3310865000142,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
139,3364610000162,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
140,11085724000100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
141,60528437000124,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
142,44367522000100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
143,59451724000102,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
144,385181000111,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
145,61801056000130,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
146,7128849000194,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
147,77353662000170,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
148,50105048000132,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
149,53574521000119,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
150,47532825000110,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
151,47611306000148,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
152,7660698000110,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
153,3004953000116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
154,4900055000109,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
155,50117142000101,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
156,1035935000176,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
157,11957227000146,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
158,62017629000100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
159,66511000106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
160,6255063000175,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
161,5351362000140,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
162,5932790000167,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
163,17019016000149,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
164,7920260000124,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
165,12015052000110,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
166,84696178000109,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
167,7089893000132,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
168,88943311001530,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
169,9628877000104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
170,73670861000150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
171,28424588000120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
172,2479893000125,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
173,319362000140,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
174,871133000133,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
175,62947783000172,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
176,3083576000158,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
177,82614041000132,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
178,4235334000103,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
179,9151473000164,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
180,5502248000174,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
181,29229861000128,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
182,4510468000268,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
183,19998046000170,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
